national_rank,village_id,village_name,district,state,latitude,longitude,economic_growth_score,confidence_score,growth_tier,ntl_growth_pct,ntl_2020,ntl_2025,built_growth_abs,ndbi_growth,road_growth_pct,ndvi_change,lulc_change_score,pop_growth_proxy,ntl_growth_norm,builtup_growth_norm,road_density_norm,ndvi_productivity_norm,lulc_change_norm,national_rank,growth_percentile
5437,UTT_0001,Gangapur,Gorakhpur,Uttar Pradesh,25.64837,80.54708,26.572585778040875,74.7,Baseline,56.28,3.708,5.7948,0.0359,0.0368,40.78,-0.0253,0.0536,0.0924,27.60677719418674,11.499238296686299,27.350226509537258,47.640857241617695,14.419384924720504,5437,13.480821263727519
3793,UTT_0002,Shivpur,Lucknow,Uttar Pradesh,27.2076,81.32243,36.99191584721168,71.7,Baseline,12.27,4.2322,4.7515,0.2011,0.1792,47.04,-0.066,0.0814,0.0988,7.74012572648484,70.22102759313205,32.486058865897796,31.916119368590845,22.83760704465897,3793,39.64666560560242
2665,UTT_0003,Kanpurwadi,Meerut,Uttar Pradesh,24.634,77.68436,43.433907154492736,100.0,Moderate,100.34,13.8823,27.811,0.0477,0.0533,46.27,0.0569,0.1222,0.0787,51.24646425061304,16.901795634428222,31.432884680776045,52.30153243461227,35.1924078537773,2665,57.59987267229031
5705,UTT_0004,Gangakhurd,Bareilly,Uttar Pradesh,27.9174,78.34347,23.976081411101603,62.7,Baseline,42.01,1.7671,2.5094,0.0424,0.0467,53.06,-0.0064,0.0273,0.1431,19.384393349353427,14.630048909370663,38.393829090404125,34.47401774397971,6.455383422764325,5705,9.215342989017985
4302,UTT_0005,Shivkalan,Gorakhpur,Uttar Pradesh,27.39517,84.12748,34.13611388305691,72.0,Baseline,66.14,2.9268,4.8625,0.1244,0.1433,27.84,0.0143,0.0158,0.235,31.51488270500375,48.72534009384795,17.667084675629795,29.954487844221678,2.9730253515667577,4302,31.545440076396623
4889,UTT_0006,Gangatola,Moradabad,Uttar Pradesh,27.53884,78.94533,30.64809436726437,77.4,Baseline,92.96,3.5687,6.8863,0.0185,0.022,26.01,-0.0127,0.067,0.1402,44.19403699880632,5.352158923001147,16.429113243285254,54.12201866574489,18.477089112028974,4889,22.20276937768582
1513,UTT_0007,Haritola,Prayagraj,Uttar Pradesh,26.33091,82.90828,51.450621167990775,82.2,High,116.01,4.3011,9.2906,0.188,0.1711,8.84,-0.0095,0.0496,0.2002,55.12391084042217,66.17388216697908,3.8681104811086806,54.39854821984099,13.20812994343439,1513,75.93506286805666
5999,UTT_0008,Gangawadi,Lucknow,Uttar Pradesh,28.24045,77.80482,19.802904362763623,63.9,Baseline,18.07,2.3292,2.75,0.0289,0.034,22.56,-0.0675,0.2464,0.1319,9.038392263785354,9.628388052521254,14.369761641322789,32.75434957944462,72.80187502271103,5999,4.53604965780678
2193,UTT_0009,Varanasipur,Prayagraj,Uttar Pradesh,29.31776,77.80011,46.526334848881525,77.3,Moderate,99.85,3.4267,6.8481,0.1669,0.1455,20.8,0.0252,0.005982,0.0531,47.2134112517918,57.258708044274215,15.832403144657963,55.732227215116936,0.0,2193,65.11220754416681
5365,UTT_0010,Tulsipur,Kanpur Nagar,Uttar Pradesh,26.95595,77.37433,27.232432491385588,72.8,Baseline,32.66,3.853,5.1114,0.0781,0.0728,54.16,-0.0107,0.049,0.2101,16.89588233106779,26.427859632778816,37.85464218553259,33.2728424933748,13.026441696241477,5365,14.626770650962918
3706,UTT_0011,Kanpurnagar,Prayagraj,Uttar Pradesh,26.66832,79.78458,37.38832870233124,68.6,Baseline,8.35,3.5447,3.8407,0.0678,0.0668,85.26,0.0364,0.2243,0.2192,5.50812379060982,23.31613932870838,61.18492250105316,59.373199677382175,66.10969125110526,3706,41.031354448511856
4121,UTT_0012,Haritola,Aligarh,Uttar Pradesh,28.00272,82.94794,35.25301109263192,56.4,Baseline,30.93,1.1291,1.4783,0.1145,0.13,30.6,0.1395,0.1582,0.0871,13.48482633510137,44.29638849541641,20.685297943561768,63.57587279640511,46.09370268535229,4121,34.42622950819672
5891,UTT_0013,Ganganagar,Kanpur Nagar,Uttar Pradesh,26.09616,79.76786,21.569183646584573,56.4,Baseline,27.57,1.1594,1.479,0.1088,0.0928,9.89,0.0487,0.0389,0.1314,12.006266849289652,36.106646100040834,4.914054394187201,51.51803203134,9.968022868494046,5891,6.254973738659876
2890,UTT_0014,Shivwadi,Aligarh,Uttar Pradesh,26.28137,83.98016,42.04712053282853,78.9,Moderate,88.41,4.0257,7.5849,0.0772,0.0677,8.16,0.0162,0.2818,0.0709,42.439839728471306,25.282441115943072,3.18176627465124,59.667012328609275,83.52148160709311,2890,54.01878083717969
3760,UTT_0015,Kanpurwadi,Bareilly,Uttar Pradesh,29.97399,82.86802,37.17183830224278,55.9,Baseline,55.38,0.9085,1.4116,0.1454,0.1249,28.24,0.0608,0.0805,0.1617,24.16993713692446,49.221688117810096,18.667839388438065,56.20463187003111,22.565074673869596,3760,40.171892408085306
